time,ax,ay,az,wx,wy,wz
0.0,-0.39,-0.49,-0.64,0.08,-0.0,-0.02
0.1,0.1,-0.14,0.06,0.08,-0.04,0.01
0.2,-0.06,-0.32,0.77,-0.01,-0.12,-0.02
0.3,0.08,-0.03,0.34,0.08,-0.07,-0.04
0.4,-0.29,0.13,0.08,0.02,0.03,-0.02
0.5,0.17,-0.08,-0.29,-0.0,-0.01,-0.01
0.6,-0.12,-0.27,-0.05,-0.0,0.02,-0.02
0.7,0.09,-0.22,-0.05,0.02,-0.03,-0.02
0.8,0.11,-0.27,0.23,0.04,-0.02,0.01
0.9,-0.07,-0.36,-0.22,-0.02,0.06,0.0
1.0,0.04,-0.24,0.29,-0.01,-0.0,-0.01
1.1,-0.15,-0.11,-0.17,-0.01,0.01,-0.02
1.2,0.07,-0.2,-0.06,0.01,-0.02,-0.02
1.3,-0.01,-0.34,0.1,-0.06,0.01,-0.0
1.39,-0.02,-0.31,-0.03,-0.05,0.01,-0.01
1.49,-0.02,-0.13,-0.02,-0.05,0.01,-0.01
1.59,0.01,-0.02,-0.22,-0.02,0.0,-0.02
1.69,0.05,-0.05,-0.13,-0.03,-0.01,-0.02
1.79,0.09,-0.16,0.11,-0.05,0.0,-0.01
1.89,-0.15,-0.1,-0.01,-0.07,0.0,-0.0
1.99,-0.16,-0.07,-0.19,-0.08,0.01,0.0
2.09,-0.03,-0.01,-0.06,-0.06,0.01,-0.01
2.19,-0.04,-0.14,0.06,-0.05,0.01,-0.01
2.29,-0.03,-0.1,-0.03,-0.06,0.0,-0.01
2.39,-0.06,-0.12,-0.03,-0.04,0.0,-0.01
2.49,0.02,-0.12,-0.1,-0.03,-0.0,-0.01
2.59,-0.03,-0.15,0.0,-0.04,0.0,-0.01
2.69,-0.09,-0.11,-0.07,-0.04,0.0,-0.01
2.79,-0.03,-0.12,0.0,-0.03,-0.0,-0.01
2.88,-0.08,-0.14,-0.08,-0.03,0.0,-0.01
2.98,-0.05,-0.12,-0.03,-0.02,-0.0,-0.01
3.08,-0.01,-0.12,0.03,-0.03,-0.0,-0.01
3.18,-0.1,-0.11,-0.15,-0.03,-0.0,-0.01
3.28,-0.04,-0.09,-0.08,-0.02,0.0,-0.01
3.38,-0.04,-0.12,-0.03,-0.02,-0.0,-0.01
3.48,-0.03,-0.13,-0.1,-0.03,-0.0,-0.01
3.58,-0.02,-0.11,-0.11,-0.03,-0.0,-0.01
3.68,0.06,-0.08,-0.04,-0.02,-0.0,-0.01
3.78,-0.02,-0.11,-0.07,-0.03,-0.0,-0.01
3.88,-0.02,-0.19,-0.12,-0.03,-0.0,-0.01
3.98,-0.03,-0.11,-0.01,-0.02,-0.0,-0.01
4.08,-0.02,-0.11,-0.09,-0.02,-0.0,-0.01
4.18,-0.04,-0.1,-0.06,-0.02,-0.0,-0.01
