time,ax,ay,az,wx,wy,wz
0.0,-0.05,0.06,0.13,0.02,-0.03,0.01
0.1,-0.02,0.05,0.05,0.01,-0.01,0.01
0.2,-0.02,0.02,0.02,0.01,-0.01,0.01
0.3,-0.02,0.02,-0.01,0.01,-0.01,0.01
0.4,0.06,0.03,-0.04,0.02,-0.01,0.01
0.5,0.09,-0.07,0.13,0.03,-0.0,0.01
0.6,0.0,-0.14,0.07,0.04,-0.0,0.01
0.7,-0.02,-0.17,-0.01,0.06,0.01,0.02
0.8,-0.02,-0.16,-0.06,0.07,0.02,0.03
0.9,-0.05,-0.13,-0.13,0.08,0.02,0.04
1.0,-0.07,-0.1,-0.15,0.1,0.03,0.05
1.09,-0.01,-0.12,-0.04,0.09,0.04,0.05
1.19,-0.03,-0.12,-0.06,0.07,0.04,0.03
1.29,-0.09,-0.09,-0.14,0.05,0.03,0.03
1.39,-0.06,0.0,-0.09,0.04,0.02,0.02
1.49,-0.03,0.03,-0.04,0.01,0.01,0.01
1.59,-0.06,-0.06,0.01,0.01,-0.0,0.01
1.69,-0.05,-0.1,-0.04,0.01,0.0,0.01
1.79,-0.04,-0.09,-0.03,0.01,0.0,0.01
1.89,-0.03,-0.07,-0.02,0.01,0.0,0.01
1.99,-0.02,-0.05,-0.01,0.01,0.0,0.01
2.09,-0.01,-0.04,0.0,0.01,0.0,0.01
2.19,-0.01,-0.03,0.0,0.01,0.0,0.01
2.29,-0.01,-0.02,-0.01,0.01,0.0,0.01
2.39,-0.02,-0.02,-0.02,0.01,0.0,0.01
2.49,-0.02,-0.02,-0.02,0.01,0.0,0.01
2.59,-0.02,-0.02,-0.02,0.01,0.0,0.01
2.69,-0.02,-0.02,-0.02,0.01,0.0,0.01
2.79,-0.01,-0.01,-0.01,0.01,0.0,0.01
2.88,-0.01,-0.01,-0.01,0.01,0.0,0.01
2.98,-0.01,-0.01,-0.01,0.01,0.0,0.01
3.08,-0.01,-0.01,-0.01,0.01,0.0,0.01
3.18,-0.01,-0.01,-0.01,0.01,0.0,0.01
3.28,-0.01,0.0,-0.01,0.01,0.0,0.01
3.38,-0.01,0.0,-0.01,0.01,0.0,0.01
3.48,-0.01,0.0,-0.01,0.01,0.0,0.01
3.58,-0.01,0.0,-0.01,0.01,0.0,0.01
3.68,-0.01,0.0,-0.01,0.01,0.0,0.01
3.78,-0.01,0.0,-0.01,0.01,0.0,0.01
