time,ax,ay,az,wx,wy,wz
0.0,-0.08,-0.14,0.07,0.09,-0.12,0.13
0.1,-0.04,-0.12,0.25,0.02,-0.06,0.03
0.2,0.06,-0.19,-0.03,0.0,0.06,0.06
0.3,0.26,0.0,0.04,0.07,-0.01,0.11
0.4,0.1,0.1,-0.09,0.11,0.01,0.01
0.5,-0.12,0.08,-0.03,0.04,-0.01,0.04
0.6,-0.07,-0.04,0.1,-0.03,-0.01,0.04
0.7,0.0,-0.1,-0.02,-0.03,0.03,0.03
0.8,-0.02,-0.03,0.0,0.02,-0.02,0.01
0.9,-0.08,-0.04,-0.03,0.02,-0.0,-0.02
1.0,-0.04,0.0,-0.04,-0.01,0.01,-0.01
1.1,0.01,-0.04,0.0,-0.01,0.01,-0.01
1.2,0.11,-0.11,0.09,0.04,-0.04,-0.0
1.3,0.09,0.01,0.06,0.06,-0.06,-0.06
1.39,0.06,-0.08,-0.09,0.04,-0.02,-0.01
1.49,-0.04,-0.18,-0.05,0.03,-0.0,-0.04
1.59,-0.03,-0.19,0.09,-0.0,-0.01,-0.02
1.69,0.03,-0.13,0.04,0.01,0.02,0.01
1.79,0.08,-0.06,-0.03,0.02,0.0,0.01
1.89,0.04,-0.13,-0.03,0.03,-0.0,0.02
1.99,0.04,-0.16,0.08,0.01,-0.01,0.03
2.09,0.0,-0.05,-0.06,-0.02,-0.01,0.0
2.19,-0.07,-0.04,-0.1,-0.02,-0.0,-0.01
2.29,-0.07,0.0,0.0,0.01,-0.02,0.0
2.39,-0.04,-0.06,0.04,0.03,-0.02,0.0
2.49,0.02,0.0,0.09,0.02,-0.02,0.01
2.59,-0.03,0.04,-0.03,0.03,0.01,0.01
2.69,-0.07,0.06,-0.08,0.02,0.01,0.01
2.79,-0.13,0.04,-0.19,-0.01,0.02,-0.01
2.89,0.04,0.0,-0.08,-0.01,-0.01,-0.01
2.98,0.06,-0.11,-0.01,-0.01,-0.02,-0.02
3.08,0.06,-0.13,0.04,-0.0,-0.03,-0.0
3.18,0.02,-0.11,0.11,0.01,-0.03,0.01
3.28,-0.04,-0.11,0.13,0.02,-0.01,0.01
3.38,-0.06,-0.04,0.01,-0.0,-0.01,-0.0
3.48,-0.08,-0.03,-0.01,-0.01,-0.0,-0.01
3.58,-0.03,-0.06,0.06,0.0,-0.01,-0.01
3.68,0.02,-0.02,0.06,0.0,-0.02,0.0
3.78,0.04,-0.05,0.05,0.01,-0.03,0.0
3.88,0.04,-0.05,0.07,0.0,-0.03,-0.01
3.98,-0.03,-0.08,0.04,-0.01,-0.02,-0.0
4.08,-0.04,-0.06,-0.02,-0.01,-0.01,-0.01
4.18,-0.02,-0.03,0.02,-0.0,-0.02,-0.01
4.28,0.01,-0.04,-0.01,-0.01,-0.01,-0.0
4.38,-0.02,-0.03,0.01,-0.0,-0.02,-0.0
4.48,-0.03,-0.06,0.09,0.0,-0.02,-0.0
4.57,-0.03,-0.09,0.07,-0.0,-0.02,-0.0
4.67,-0.02,-0.06,0.02,-0.01,-0.02,-0.0
4.77,-0.02,-0.05,0.0,-0.01,-0.01,-0.0
4.87,0.01,-0.04,0.07,-0.01,-0.01,-0.0
4.97,0.06,-0.03,0.1,-0.0,-0.01,0.0
5.07,0.06,-0.03,0.05,0.0,-0.02,0.0
5.17,-0.01,-0.06,0.02,0.0,-0.02,0.0
5.27,-0.06,-0.06,-0.04,-0.01,-0.01,-0.0
5.37,-0.05,-0.05,-0.03,-0.01,-0.01,-0.0
5.47,-0.02,-0.05,0.03,-0.01,-0.01,-0.0
5.57,0.01,-0.05,0.08,-0.01,-0.02,-0.0
5.67,0.01,-0.07,0.03,0.0,-0.01,-0.0
5.77,-0.03,-0.06,0.04,-0.0,-0.01,-0.0
5.87,-0.03,-0.05,0.04,-0.01,-0.01,-0.0
5.97,-0.02,-0.03,0.02,-0.01,-0.01,-0.0
6.07,0.01,-0.02,0.06,-0.01,-0.01,-0.0
6.16,0.04,-0.03,0.08,-0.01,-0.01,-0.0
6.26,0.02,-0.04,0.06,-0.01,-0.01,-0.0
6.36,-0.01,-0.04,0.03,-0.01,-0.01,-0.0
6.46,-0.02,-0.04,0.03,-0.01,-0.01,-0.0
6.56,-0.02,-0.04,0.04,-0.01,-0.01,-0.0
6.66,-0.01,-0.04,0.06,-0.01,-0.01,-0.0
6.76,-0.02,-0.05,0.04,-0.01,-0.01,-0.0
6.86,0.03,-0.03,0.1,-0.01,-0.01,-0.0
6.96,0.04,-0.03,0.08,-0.01,-0.01,-0.0
7.06,0.01,-0.04,0.05,-0.01,-0.01,-0.0
7.16,-0.02,-0.04,0.04,-0.01,-0.01,-0.0
7.26,-0.03,-0.04,0.03,-0.01,-0.01,-0.0
7.36,-0.02,-0.03,0.05,-0.01,-0.01,-0.0
7.46,0.02,-0.02,0.08,-0.01,-0.01,-0.0
7.56,0.03,-0.03,0.07,-0.01,-0.01,-0.0
7.66,0.0,-0.04,0.05,-0.01,-0.01,-0.0
7.75,-0.02,-0.04,0.03,-0.01,-0.0,-0.0
7.85,-0.03,-0.04,0.03,-0.01,-0.01,-0.0
7.95,-0.02,-0.03,0.05,-0.01,-0.01,-0.0
8.05,0.02,-0.01,0.09,-0.01,-0.01,-0.0
8.15,0.03,-0.01,0.09,-0.01,-0.01,-0.0
8.25,0.0,-0.02,0.05,-0.01,-0.01,-0.0
8.35,-0.02,-0.03,0.03,-0.01,-0.01,-0.0
