time,ax,ay,az,wx,wy,wz
0.0,0.12,0.12,-0.42,-0.07,-0.01,0.05
0.1,-0.18,-0.01,0.34,0.03,-0.2,0.08
0.2,-0.16,-0.3,0.02,0.06,-0.19,0.16
0.3,-0.3,-0.06,0.7,0.11,-0.21,0.16
0.4,-0.18,-0.21,0.4,0.15,-0.14,0.18
0.5,0.09,0.13,-0.06,0.16,0.01,0.1
0.6,0.06,0.05,0.06,0.13,-0.03,0.05
0.7,-0.16,-0.32,0.03,0.11,-0.07,0.14
0.8,0.08,-0.11,0.28,0.13,-0.04,0.18
0.9,-0.01,0.05,-0.34,0.13,-0.12,0.18
1.0,-0.02,-0.08,0.41,0.2,-0.33,0.22
1.1,0.18,-0.01,0.08,0.16,-0.24,0.15
1.2,0.17,-0.06,0.37,0.21,-0.3,0.21
1.29,-0.14,-0.23,0.12,0.21,-0.32,0.23
1.39,-0.14,-0.06,0.21,0.27,-0.31,0.21
1.49,-0.08,0.11,0.26,0.32,-0.18,0.18
1.59,0.05,-0.02,-0.15,0.31,-0.19,0.26
1.69,-0.02,-0.19,0.04,0.27,-0.15,0.21
1.79,0.05,0.06,0.2,0.22,-0.2,0.21
1.89,-0.18,-0.08,0.06,0.2,-0.18,0.21
1.99,-0.04,0.02,0.31,0.22,-0.09,0.19
2.09,-0.12,-0.2,0.06,0.22,-0.17,0.21
2.19,-0.14,-0.18,0.09,0.28,-0.19,0.19
2.29,-0.28,-0.16,0.14,0.26,-0.13,0.2
2.39,-0.1,-0.09,0.0,0.23,-0.05,0.18
2.49,0.06,-0.04,0.24,0.3,-0.02,0.25
2.59,-0.04,-0.21,-0.05,0.35,-0.01,0.29
2.69,0.02,0.02,0.18,0.34,0.01,0.32
2.78,-0.14,-0.04,0.14,0.31,-0.06,0.26
2.89,-0.04,-0.15,0.04,0.29,-0.08,0.24
2.98,0.14,-0.09,0.11,0.27,-0.06,0.25
3.08,0.01,-0.18,0.05,0.3,-0.05,0.28
3.18,-0.05,-0.13,0.28,0.3,-0.02,0.29
3.28,-0.01,-0.04,0.05,0.29,0.01,0.28
3.38,0.03,0.02,0.15,0.29,-0.03,0.27
3.48,-0.11,-0.1,0.22,0.29,-0.02,0.27
3.58,-0.04,-0.1,0.21,0.3,-0.01,0.27
3.68,-0.06,-0.08,0.06,0.28,0.01,0.27
3.78,-0.06,-0.09,0.08,0.28,0.04,0.27
3.88,-0.03,-0.09,0.15,0.28,0.03,0.27
3.98,-0.05,-0.07,0.18,0.29,0.0,0.27
4.08,-0.05,-0.06,0.11,0.27,0.02,0.26
4.18,-0.02,-0.07,0.12,0.28,0.02,0.26
4.28,-0.03,-0.09,0.13,0.28,0.01,0.27
4.38,0.0,-0.08,0.17,0.29,0.0,0.27
4.47,-0.03,-0.07,0.13,0.29,-0.01,0.27
4.57,-0.04,-0.07,0.12,0.28,0.0,0.27
4.67,-0.03,-0.07,0.15,0.28,0.0,0.27
4.77,-0.03,-0.08,0.14,0.28,0.01,0.27
4.87,-0.03,-0.07,0.15,0.29,0.0,0.27
4.97,-0.04,-0.08,0.14,0.29,-0.0,0.27
5.07,-0.03,-0.08,0.14,0.28,-0.0,0.27
5.17,-0.02,-0.08,0.14,0.29,0.0,0.27
5.27,-0.03,-0.08,0.15,0.29,-0.0,0.27
5.37,-0.03,-0.08,0.15,0.29,-0.0,0.27
5.47,-0.03,-0.08,0.15,0.29,-0.0,0.27
5.57,-0.03,-0.08,0.14,0.29,-0.0,0.27
5.67,-0.03,-0.08,0.14,0.29,-0.0,0.27
5.77,-0.03,-0.08,0.14,0.29,-0.0,0.27
5.87,-0.03,-0.08,0.14,0.29,-0.0,0.27
5.97,-0.03,-0.08,0.14,0.29,-0.0,0.27
6.06,-0.03,-0.08,0.14,0.29,-0.0,0.27
6.16,-0.03,-0.08,0.14,0.29,-0.0,0.27
6.26,-0.03,-0.08,0.14,0.29,-0.0,0.27
6.36,-0.03,-0.08,0.14,0.29,-0.0,0.27
6.46,-0.03,-0.08,0.14,0.29,-0.0,0.27
6.56,-0.03,-0.08,0.14,0.29,-0.0,0.27
6.66,-0.03,-0.08,0.14,0.29,-0.0,0.27
6.76,-0.03,-0.08,0.14,0.29,-0.0,0.27
6.86,-0.03,-0.08,0.14,0.29,-0.0,0.27
6.96,-0.03,-0.08,0.14,0.29,-0.0,0.27
7.06,-0.03,-0.08,0.14,0.29,-0.0,0.27
7.16,-0.03,-0.08,0.14,0.29,-0.0,0.27
7.26,-0.03,-0.08,0.14,0.29,-0.0,0.27
