time,ax,ay,az,wx,wy,wz
0.0,-0.07,0.42,-1.47,0.18,0.28,0.22
0.1,-0.23,-0.09,-0.14,0.18,0.26,0.06
0.19,-0.23,-0.41,-0.18,0.04,0.22,0.01
0.29,0.04,0.12,0.42,-0.0,0.2,-0.07
0.39,-0.21,0.5,0.2,0.01,0.14,-0.08
0.49,0.07,-0.4,-0.24,0.11,0.11,-0.05
0.59,0.07,-0.34,-0.05,0.03,0.14,-0.02
0.69,-0.14,-0.16,0.0,-0.01,0.17,0.0
0.79,-0.18,-0.2,-0.02,-0.01,0.13,-0.02
0.89,-0.02,-0.28,0.1,0.01,0.11,-0.02
0.99,-0.04,0.07,-0.12,0.02,0.1,-0.02
1.09,-0.36,0.0,-0.3,0.06,0.13,-0.0
1.19,-0.24,-0.23,-0.05,0.04,0.1,0.01
1.29,-0.14,-0.09,-0.07,0.01,0.03,0.04
1.39,0.23,-0.11,-0.09,-0.02,0.02,0.04
1.49,-0.03,-0.27,0.17,-0.04,-0.05,0.05
1.59,-0.18,-0.06,-0.04,-0.05,0.03,0.05
1.69,0.06,-0.09,0.06,-0.05,0.05,0.04
1.78,0.11,-0.2,0.1,-0.05,0.02,0.04
1.88,-0.05,-0.17,0.11,-0.04,-0.02,0.03
1.98,0.04,-0.13,0.33,-0.03,-0.03,0.03
2.08,0.24,-0.31,0.09,-0.04,-0.08,0.03
2.18,0.12,-0.2,0.28,-0.03,-0.11,0.03
2.28,0.24,-0.25,0.1,-0.01,-0.09,0.03
2.38,0.02,-0.14,-0.18,-0.0,-0.07,0.02
2.48,-0.11,-0.09,0.02,-0.01,-0.09,0.02
2.58,-0.21,-0.15,-0.15,-0.03,-0.08,0.02
2.68,-0.13,-0.01,-0.1,-0.04,-0.04,0.02
2.78,-0.11,0.33,-0.14,-0.04,-0.1,0.02
2.88,0.05,0.16,-0.07,-0.04,-0.15,0.02
2.98,0.21,0.06,-0.18,-0.05,-0.13,0.02
3.08,0.08,0.08,-0.28,-0.06,-0.15,0.02
3.18,-0.05,0.05,-0.28,-0.08,-0.15,0.01
3.28,-0.34,0.01,-0.29,-0.07,-0.14,0.01
3.38,-0.22,-0.21,-0.19,-0.06,-0.13,0.01
3.47,-0.15,-0.14,-0.14,-0.05,-0.12,0.01
3.57,-0.26,-0.18,-0.02,-0.04,-0.13,0.01
3.67,0.01,-0.08,-0.01,-0.02,-0.15,0.01
3.77,-0.1,-0.12,-0.14,-0.01,-0.15,0.01
3.87,-0.09,0.16,-0.11,0.0,-0.16,0.01
3.97,-0.25,0.07,-0.34,0.02,-0.15,0.01
