time,ax,ay,az,wx,wy,wz
0.0,0.04,-0.2,0.38,0.36,-0.23,0.04
0.1,0.03,-0.23,-0.16,0.35,-0.18,0.02
0.2,0.02,-0.32,-0.22,0.3,-0.18,-0.14
0.3,0.13,-0.24,0.15,0.1,0.23,-0.02
0.4,0.32,0.28,-0.55,-0.13,0.2,0.17
0.5,0.15,-0.19,-0.15,0.04,-0.06,0.3
0.6,0.13,0.0,0.37,0.2,-0.14,0.21
0.7,0.01,-0.03,-0.38,0.22,-0.17,0.1
0.8,-0.09,-0.06,-0.11,0.13,0.01,-0.06
0.9,0.06,-0.08,-0.1,0.08,0.05,-0.04
1.0,-0.1,-0.18,0.13,0.02,0.07,-0.03
1.1,-0.21,-0.3,-0.04,0.01,-0.04,-0.02
1.2,-0.16,-0.25,0.0,0.03,-0.03,-0.04
1.3,-0.2,-0.25,-0.12,0.04,0.01,-0.07
1.4,-0.08,-0.21,-0.04,0.02,0.01,-0.06
1.49,0.02,-0.14,-0.12,-0.01,0.04,-0.06
1.59,0.15,0.04,-0.11,-0.02,0.01,-0.02
1.69,0.15,0.12,-0.19,0.03,0.0,-0.02
1.79,0.02,0.04,-0.01,0.01,0.02,0.02
1.89,-0.1,-0.12,-0.01,0.03,0.02,-0.02
1.99,-0.13,-0.19,-0.29,0.02,0.0,-0.08
2.09,-0.11,-0.19,-0.03,-0.01,0.04,-0.07
2.19,-0.16,-0.18,0.12,0.02,0.04,0.02
2.29,-0.11,-0.11,-0.03,0.01,-0.03,-0.01
2.39,-0.11,-0.17,-0.05,0.03,-0.02,-0.01
2.49,-0.16,-0.18,-0.06,0.0,-0.03,-0.02
2.59,-0.12,-0.15,0.1,0.01,-0.03,0.01
2.69,-0.18,-0.15,0.05,-0.02,-0.01,0.0
2.79,-0.21,-0.19,-0.13,-0.0,-0.0,-0.02
2.89,0.03,-0.04,0.03,-0.02,-0.0,-0.02
2.98,-0.08,-0.04,0.01,-0.03,-0.04,0.01
3.08,-0.03,-0.06,0.02,-0.06,-0.02,0.0
3.18,-0.02,-0.07,-0.06,-0.03,-0.01,0.0
3.28,-0.09,-0.09,0.03,-0.02,-0.05,-0.01
3.38,-0.11,-0.09,0.02,-0.03,0.02,-0.01
