time,ax,ay,az,wx,wy,wz
0.0,-0.02,-0.11,-0.02,-0.01,0.0,-0.0
0.2,-0.02,-0.07,0.06,-0.02,0.01,-0.01
0.4,-0.06,-0.02,-0.1,-0.01,-0.01,-0.01
0.6,-0.05,-0.02,0.01,-0.01,-0.0,-0.02
0.8,-0.04,-0.13,-0.02,-0.02,-0.0,-0.01
0.99,0.01,0.05,-0.05,-0.01,-0.02,-0.01
1.19,-0.05,-0.03,-0.03,-0.03,0.01,-0.02
1.39,0.04,-0.07,0.09,-0.04,-0.01,-0.02
1.59,-0.03,-0.04,-0.09,-0.01,-0.0,-0.01
1.79,-0.07,-0.01,0.05,-0.01,-0.01,-0.02
1.99,0.03,-0.03,-0.01,-0.03,-0.0,-0.01
2.19,-0.04,-0.07,0.03,-0.02,-0.0,-0.02
2.39,-0.03,0.01,-0.04,-0.02,-0.0,-0.02
2.58,-0.03,-0.03,0.01,-0.02,0.0,-0.02
2.78,-0.03,-0.01,-0.01,-0.02,-0.0,-0.01
2.98,-0.04,-0.03,-0.02,-0.02,-0.0,-0.01
