time,ax,ay,az,wx,wy,wz
0.0,-0.32,-0.19,0.38,0.18,0.03,-0.12
0.2,-0.3,-0.17,-0.1,0.35,0.06,-0.09
0.4,-0.04,0.04,0.11,0.03,0.0,0.13
0.6,-0.4,0.2,-0.2,0.29,-0.1,0.01
0.8,0.63,0.26,0.3,0.21,0.04,0.05
0.99,-0.13,0.44,0.03,0.05,-0.14,0.04
1.19,0.07,0.28,-0.11,0.18,-0.09,0.06
1.39,0.02,0.1,-0.11,0.27,-0.03,0.09
1.59,0.07,0.27,0.09,0.3,0.04,0.08
1.79,0.01,0.08,-0.03,0.12,-0.0,-0.01
1.99,-0.03,0.0,0.08,0.21,-0.02,0.04
2.19,-0.06,0.01,0.06,0.24,-0.01,0.04
2.38,-0.18,0.08,0.05,0.1,-0.0,-0.0
2.58,-0.05,0.16,0.09,0.15,-0.01,0.02
2.78,-0.07,0.05,0.11,0.12,-0.02,0.0
2.98,0.06,0.05,-0.04,0.12,0.0,0.02
