time,ax,ay,az,wx,wy,wz
0.0,-0.05,0.27,-0.19,-0.01,-0.03,0.03
0.2,0.05,0.09,0.0,0.01,-0.03,-0.02
0.4,0.06,0.16,-0.2,0.0,0.04,-0.01
0.6,-0.02,0.02,0.3,0.01,-0.03,-0.0
0.79,0.03,0.05,-0.17,0.01,-0.01,0.01
0.99,-0.06,-0.02,-0.17,0.0,0.01,-0.01
1.19,0.02,0.13,-0.02,0.0,-0.0,-0.0
1.39,-0.03,0.01,0.0,0.01,-0.0,0.0
1.59,0.01,-0.02,-0.11,-0.02,0.01,0.02
1.79,0.06,-0.0,-0.0,-0.01,-0.01,0.0
1.99,-0.05,0.07,-0.07,0.02,0.03,-0.01
2.18,0.01,0.04,0.06,-0.02,-0.04,0.03
2.38,-0.05,0.12,-0.02,-0.01,-0.01,-0.0
2.58,0.1,-0.06,-0.04,-0.01,0.03,-0.01
2.78,-0.05,-0.04,0.05,0.01,-0.02,-0.0
2.98,-0.01,0.13,-0.01,0.0,-0.0,-0.0
3.18,-0.02,0.0,-0.03,0.02,-0.0,-0.0
3.38,-0.01,0.02,-0.04,-0.01,0.01,-0.0
3.58,-0.01,-0.02,-0.08,0.01,-0.0,-0.01
3.78,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0
3.97,0.01,-0.03,-0.06,-0.01,0.0,0.01
4.17,-0.02,0.11,-0.17,-0.0,0.0,-0.0
4.37,-0.03,0.15,-0.09,-0.0,-0.0,0.0
4.57,-0.03,0.07,-0.08,0.03,-0.03,-0.01
4.77,-0.02,-0.09,-0.12,-0.0,0.02,0.0
4.97,-0.03,0.11,-0.04,-0.02,-0.01,0.01
5.17,0.07,-0.05,0.04,0.01,-0.01,-0.01
5.37,-0.03,-0.03,0.04,0.01,-0.02,-0.0
5.56,-0.02,0.04,0.05,0.01,-0.01,-0.0
5.76,0.04,-0.0,0.08,-0.01,-0.0,0.0
5.96,-0.04,-0.04,0.05,-0.0,-0.01,0.01
6.16,-0.04,0.04,-0.08,0.01,-0.01,-0.0
6.36,0.05,0.07,0.08,-0.01,-0.01,0.01
6.56,-0.04,-0.02,0.05,-0.01,-0.0,0.01
6.76,-0.03,-0.02,0.15,0.01,-0.01,-0.0
6.96,-0.02,-0.0,0.04,-0.0,-0.0,-0.0
7.15,-0.02,-0.02,-0.04,-0.01,0.0,0.0
7.35,0.02,0.02,-0.11,0.01,-0.0,-0.01
7.55,-0.07,0.11,-0.06,0.02,0.01,-0.01
7.75,-0.1,0.06,-0.41,-0.01,0.09,0.01
7.95,0.02,0.05,-0.01,0.11,-0.05,-0.05
8.15,-0.06,0.01,0.0,0.05,-0.0,-0.03
8.35,0.01,-0.01,0.09,0.03,-0.0,-0.02
8.55,-0.02,-0.01,0.01,0.02,0.0,-0.01
8.74,0.01,-0.05,0.06,0.01,-0.01,-0.01
8.94,-0.04,0.09,0.05,0.01,-0.01,-0.0
