time,ax,ay,az,wx,wy,wz
0.0,-0.36,-0.1,0.08,0.02,-0.13,0.06
0.09,-0.11,-0.07,0.06,0.0,-0.07,0.06
0.2,-0.1,0.02,-0.24,-0.0,0.01,0.01
0.29,0.16,-0.1,-0.22,-0.01,0.06,0.01
0.39,-0.04,-0.25,-0.44,-0.03,0.19,-0.07
0.49,0.22,-0.23,-0.34,-0.05,0.14,-0.06
0.59,-0.14,-0.05,0.11,-0.02,-0.09,0.06
0.69,-0.06,-0.21,0.24,0.01,-0.1,0.02
0.79,-0.22,-0.28,-0.02,0.06,-0.11,0.03
0.89,-0.16,-0.1,0.13,0.02,-0.02,0.01
0.99,0.0,-0.28,0.16,0.04,-0.11,0.0
1.09,-0.06,-0.34,-0.1,0.03,-0.03,0.0
1.19,0.0,-0.24,-0.12,-0.03,0.03,0.02
1.29,0.0,-0.07,-0.03,0.0,-0.03,0.0
1.39,0.13,0.06,0.06,-0.01,-0.1,0.01
1.49,0.04,0.1,0.12,0.01,-0.1,0.03
1.59,0.02,0.0,0.05,0.02,-0.08,0.03
1.69,-0.06,-0.07,-0.1,0.0,-0.03,0.01
1.78,-0.08,-0.1,-0.11,0.01,-0.02,0.01
1.88,-0.03,-0.06,-0.09,-0.0,0.0,0.0
1.98,0.02,0.03,-0.05,0.0,-0.02,0.0
2.08,0.02,0.03,-0.05,0.01,-0.03,0.0
2.18,0.03,0.09,-0.1,0.01,-0.03,0.01
2.28,0.02,0.05,-0.05,0.01,-0.04,0.01
2.38,0.02,-0.03,-0.1,0.0,-0.03,0.01
2.48,0.01,-0.01,-0.07,-0.0,-0.02,0.0
2.58,0.01,-0.01,-0.07,-0.0,-0.02,0.0
2.68,0.01,-0.01,-0.07,-0.0,-0.02,0.0
2.78,0.01,-0.01,-0.07,-0.0,-0.02,0.0
2.88,0.01,-0.01,-0.07,-0.0,-0.02,0.0
2.98,0.01,-0.01,-0.07,-0.0,-0.02,0.0
3.08,0.01,-0.01,-0.07,-0.0,-0.02,0.0
3.18,0.01,-0.01,-0.07,-0.0,-0.02,0.0
3.28,0.01,-0.01,-0.07,-0.0,-0.02,0.0
3.38,0.01,-0.01,-0.07,-0.0,-0.02,0.0
