time,ax,ay,az,wx,wy,wz
0.0,0.3,-0.19,-0.43,0.43,0.1,-0.25
0.19,-0.23,-0.14,-0.14,0.69,-0.36,0.96
0.39,-0.48,-0.51,-0.03,0.82,0.0,0.0
0.59,-0.02,-0.44,-0.23,0.29,0.07,-0.16
0.79,0.06,-0.08,-0.39,0.01,0.02,-0.11
0.99,-0.07,-0.2,-0.23,-0.05,0.01,-0.11
1.19,-0.06,-0.15,-0.04,0.08,-0.03,0.02
1.39,-0.01,0.08,-0.05,0.0,-0.0,0.03
1.59,-0.03,-0.14,0.02,0.04,-0.02,0.05
1.78,-0.03,-0.2,-0.15,-0.05,-0.03,-0.02
1.98,0.01,-0.04,0.05,-0.03,-0.01,0.0
2.18,-0.08,-0.1,0.0,0.02,-0.01,0.05
2.38,-0.08,-0.17,-0.06,0.01,-0.01,0.02
2.58,0.01,-0.04,-0.04,0.01,0.0,0.02
2.78,-0.0,-0.13,-0.11,-0.01,-0.01,-0.01
2.98,-0.02,-0.1,0.06,-0.01,-0.01,0.0
3.17,-0.01,-0.1,-0.02,-0.01,-0.01,-0.0
3.37,-0.02,-0.08,-0.09,-0.01,-0.01,-0.0
3.57,-0.02,-0.07,-0.06,-0.01,-0.01,-0.0
3.77,-0.02,-0.05,-0.04,-0.0,-0.01,-0.0
3.97,-0.01,-0.05,-0.04,0.0,-0.01,-0.0
4.17,-0.01,-0.07,-0.04,-0.01,-0.01,-0.0
