time,ax,ay,az,wx,wy,wz
0.0,-0.29,-0.16,-0.18,-0.02,-0.1,0.0
0.19,0.11,0.09,0.07,-0.0,-0.02,0.0
0.39,0.1,0.06,0.07,-0.0,-0.02,0.0
0.59,-0.04,-0.06,0.26,0.03,-0.04,-0.0
0.79,-0.14,-0.05,-0.04,0.02,0.01,-0.01
0.99,-0.06,-0.1,-0.06,0.01,-0.01,0.01
1.19,-0.02,-0.03,-0.05,0.01,-0.0,-0.0
1.39,-0.08,-0.04,0.06,0.01,-0.01,-0.01
1.59,-0.04,0.01,0.02,-0.0,-0.01,-0.01
1.78,-0.04,0.01,-0.09,-0.0,-0.01,-0.01
1.98,-0.03,0.06,0.0,-0.0,-0.01,-0.0
2.18,-0.01,-0.01,0.06,-0.0,-0.02,-0.0
2.38,-0.03,-0.02,-0.03,-0.01,-0.01,-0.01
2.58,-0.06,0.0,-0.02,-0.0,-0.01,-0.01
2.78,-0.07,-0.05,-0.02,-0.01,-0.01,-0.01
2.98,-0.03,0.01,0.0,-0.01,-0.01,-0.01
3.17,-0.08,-0.02,0.02,-0.0,-0.01,-0.01
3.37,0.01,-0.14,-0.01,-0.0,-0.01,-0.01
3.57,-0.12,-0.03,-0.07,0.0,-0.01,-0.01
3.77,-0.06,0.0,0.01,0.01,-0.01,-0.01
3.97,-0.08,-0.0,-0.04,0.0,-0.01,-0.01
4.17,-0.04,0.02,-0.04,0.01,-0.01,-0.01
4.37,-0.05,0.0,-0.0,0.01,-0.01,-0.01
4.57,-0.03,-0.03,-0.01,0.01,-0.01,-0.01
4.76,-0.01,0.0,-0.02,0.01,-0.01,-0.01
4.96,-0.06,-0.01,-0.01,0.01,-0.02,-0.0
5.16,-0.03,0.0,0.02,0.01,-0.02,-0.01
5.36,-0.05,0.01,-0.03,0.01,-0.01,-0.01
5.56,-0.05,-0.03,-0.02,0.0,-0.01,-0.01
5.76,-0.03,-0.03,-0.03,-0.0,-0.01,-0.01
5.96,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
6.15,-0.06,-0.04,-0.01,-0.0,-0.01,-0.01
6.35,-0.05,0.0,-0.05,0.0,-0.0,-0.01
6.55,-0.01,-0.04,-0.01,-0.0,-0.01,-0.01
6.75,-0.03,0.03,-0.02,-0.0,-0.01,-0.01
6.95,-0.02,-0.0,-0.02,-0.0,-0.01,-0.01
7.15,-0.04,-0.03,-0.01,-0.0,-0.01,-0.01
7.35,-0.01,-0.04,-0.02,-0.0,-0.01,-0.01
7.55,-0.0,-0.03,-0.02,-0.0,-0.01,-0.01
7.74,-0.01,-0.01,-0.02,-0.0,-0.01,-0.01
7.94,-0.02,-0.03,-0.0,-0.0,-0.01,-0.01
