time,ax,ay,az,wx,wy,wz
0.0,0.11,0.01,0.23,0.06,-0.13,0.03
0.2,0.04,0.01,0.12,0.11,-0.13,-0.01
0.4,-0.18,0.04,0.12,0.02,-0.07,-0.04
0.6,0.08,0.02,-0.11,0.05,-0.04,0.04
0.79,0.12,-0.11,0.14,0.07,0.03,0.01
0.99,-0.06,-0.25,-0.16,0.02,-0.0,-0.0
1.19,-0.02,-0.18,0.06,0.05,0.08,0.04
1.39,0.07,-0.09,-0.07,-0.01,0.01,-0.02
1.59,-0.12,-0.09,-0.07,-0.01,-0.01,-0.02
1.79,0.12,-0.13,0.2,-0.03,-0.05,-0.01
1.99,-0.01,-0.11,-0.15,0.01,-0.04,0.02
2.19,0.01,-0.25,0.05,0.01,-0.08,0.0
2.38,-0.01,-0.09,0.01,0.01,-0.03,-0.02
2.58,-0.02,-0.02,0.06,-0.02,-0.04,-0.0
2.78,0.09,-0.14,-0.08,-0.0,-0.01,-0.01
2.98,0.0,-0.19,-0.06,0.01,-0.03,-0.01
3.18,-0.13,-0.24,-0.08,-0.03,-0.01,-0.05
3.38,0.02,-0.21,0.21,-0.03,-0.01,-0.02
3.58,0.1,-0.4,0.26,-0.05,-0.02,-0.03
3.78,-0.1,-0.32,-0.01,-0.1,0.06,-0.01
3.97,0.03,-0.37,-0.24,-0.05,0.05,0.01
4.17,-0.09,-0.06,-0.04,-0.02,-0.01,-0.02
4.37,0.05,0.02,-0.04,-0.03,-0.02,-0.02
4.57,-0.05,0.02,-0.17,-0.02,-0.01,-0.01
4.77,-0.1,-0.08,-0.03,-0.02,-0.01,-0.02
4.97,0.03,-0.09,-0.1,-0.01,-0.01,-0.03
5.17,-0.12,-0.05,-0.13,-0.01,0.01,-0.03
5.37,0.07,-0.06,-0.04,0.0,-0.01,-0.02
5.56,-0.02,-0.09,-0.11,-0.01,0.01,-0.02
5.76,0.03,-0.05,0.0,-0.01,0.01,-0.02
5.96,-0.02,-0.07,-0.05,0.0,-0.0,-0.03
6.16,0.02,-0.08,-0.08,-0.01,0.0,-0.02
6.36,-0.08,-0.05,-0.06,-0.01,-0.0,-0.02
6.56,0.05,-0.08,-0.01,0.0,-0.0,-0.03
6.76,-0.02,-0.04,-0.04,-0.01,0.0,-0.02
6.96,0.03,-0.02,-0.03,-0.01,-0.01,-0.02
7.15,-0.02,-0.02,-0.09,-0.01,-0.01,-0.02
