time,ax,ay,az,wx,wy,wz
0.0,0.11,0.35,-0.31,0.04,-0.16,0.2
0.1,0.25,0.5,-0.19,0.1,-0.18,0.19
0.2,-0.11,0.39,-0.27,0.1,-0.03,0.12
0.3,-0.29,0.36,-0.2,0.09,0.03,0.06
0.4,-0.3,0.37,-0.25,0.07,0.15,-0.05
0.5,-0.19,0.38,-0.07,0.07,-0.01,-0.04
0.6,-0.05,0.2,0.02,0.01,-0.05,-0.04
0.7,0.0,0.1,-0.01,-0.0,-0.12,0.03
0.8,-0.12,-0.09,0.05,0.03,-0.09,0.01
0.9,-0.13,-0.12,0.03,0.01,-0.05,0.03
1.0,-0.01,-0.05,0.04,0.03,-0.04,0.01
1.1,0.12,0.01,-0.11,0.02,-0.02,-0.0
1.2,-0.11,0.09,-0.05,0.04,-0.04,0.01
1.3,-0.06,0.02,-0.15,0.04,0.02,0.01
1.39,0.12,-0.03,-0.06,0.03,0.0,-0.01
1.49,0.06,0.01,-0.06,0.01,0.03,-0.01
1.59,-0.01,-0.08,-0.09,0.03,0.04,0.01
1.69,-0.03,-0.05,-0.04,0.03,0.03,0.0
1.79,-0.08,-0.06,0.0,0.01,-0.0,0.0
1.89,-0.03,-0.02,-0.12,0.01,-0.01,0.0
1.99,0.02,0.03,-0.11,0.02,-0.01,-0.0
2.09,0.04,0.0,-0.13,0.02,-0.0,-0.0
2.19,-0.07,-0.03,-0.13,0.02,-0.01,0.0
2.29,-0.08,-0.03,-0.11,0.02,-0.0,-0.0
2.39,-0.07,0.0,-0.13,0.02,-0.0,-0.0
2.49,-0.02,0.03,-0.12,0.02,-0.0,-0.0
2.59,0.01,0.02,-0.15,0.02,-0.01,-0.0
2.69,-0.03,0.02,-0.12,0.02,-0.01,-0.0
2.79,-0.02,0.01,-0.15,0.02,0.0,-0.0
2.88,-0.04,0.02,-0.13,0.02,-0.0,0.0
2.98,-0.04,0.03,-0.14,0.02,-0.0,0.0
3.08,0.01,0.03,-0.15,0.02,-0.0,-0.0
3.18,0.02,0.02,-0.15,0.02,0.0,-0.0
3.28,-0.02,0.04,-0.13,0.02,-0.01,0.0
3.38,-0.03,0.03,-0.14,0.02,-0.0,-0.0
3.48,-0.03,0.02,-0.14,0.02,-0.0,-0.0
3.58,-0.01,0.03,-0.13,0.02,-0.0,-0.0
3.68,0.0,0.03,-0.14,0.02,-0.0,-0.0
3.78,0.0,0.03,-0.14,0.02,-0.0,-0.0
3.88,-0.01,0.03,-0.13,0.02,-0.0,-0.0
3.98,-0.01,0.03,-0.13,0.02,-0.0,-0.0
4.08,-0.01,0.03,-0.13,0.02,-0.0,-0.0
4.18,-0.01,0.03,-0.13,0.01,-0.0,-0.0
4.28,-0.01,0.03,-0.13,0.01,-0.0,-0.0
