time,ax,ay,az,wx,wy,wz
0.0,-0.04,-0.04,0.05,-0.01,-0.0,0.0
0.1,0.0,-0.16,0.01,-0.01,0.0,-0.02
0.2,-0.03,-0.18,0.1,-0.01,-0.02,-0.02
0.3,-0.11,0.09,-0.03,0.0,-0.01,-0.02
0.4,-0.03,-0.02,0.04,-0.03,-0.03,-0.02
0.5,-0.01,-0.01,-0.02,-0.03,-0.01,-0.01
0.6,0.07,-0.11,-0.09,-0.02,-0.01,-0.01
0.7,0.04,-0.1,0.08,-0.03,-0.03,-0.04
0.8,-0.03,0.03,0.01,-0.02,-0.01,-0.03
0.9,-0.02,-0.08,-0.05,-0.02,-0.0,-0.01
1.0,-0.03,-0.06,-0.04,-0.02,-0.04,-0.01
1.1,0.02,-0.02,0.05,0.0,-0.06,0.01
1.2,0.0,-0.02,0.07,0.01,0.01,0.0
1.3,0.06,0.01,0.05,0.03,0.02,0.01
1.39,-0.06,0.02,-0.14,0.01,0.02,0.01
1.49,-0.04,0.07,-0.02,0.01,0.01,-0.0
1.59,0.03,0.01,0.14,0.02,0.0,0.01
1.69,0.01,-0.11,-0.09,0.01,-0.02,0.01
1.79,-0.01,-0.08,-0.01,-0.0,-0.02,-0.0
1.89,-0.01,0.01,0.07,-0.01,-0.02,-0.0
1.99,0.0,-0.04,0.05,-0.01,-0.01,-0.01
2.09,0.0,-0.03,0.0,-0.02,-0.01,0.0
2.19,0.02,-0.02,0.02,-0.03,-0.02,-0.0
2.29,-0.01,0.01,0.01,-0.03,-0.0,-0.01
2.39,-0.01,-0.01,0.02,-0.03,0.0,-0.01
2.49,-0.01,-0.01,-0.03,-0.03,0.0,-0.01
2.59,-0.01,0.01,-0.01,-0.02,-0.0,-0.01
2.69,0.01,-0.03,-0.01,-0.03,0.0,-0.01
2.79,-0.01,-0.01,0.0,-0.03,-0.02,-0.02
2.89,-0.01,0.02,-0.01,-0.03,-0.01,-0.02
2.99,-0.01,-0.01,-0.01,-0.03,-0.01,-0.01
3.09,0.01,-0.02,-0.01,-0.03,0.01,-0.02
3.18,-0.01,-0.01,0.01,-0.03,-0.01,-0.02
3.28,0.0,-0.01,-0.01,-0.03,-0.01,-0.02
3.38,-0.01,0.0,0.01,-0.03,-0.01,-0.01
3.48,0.0,0.0,0.0,-0.03,-0.01,-0.02
