time,ax,ay,az,wx,wy,wz
0.0,-0.19,-0.74,0.57,-0.13,0.14,-0.07
0.2,0.23,-1.0,0.58,-0.12,0.12,-0.09
0.4,0.02,-1.44,-0.97,-0.14,0.33,-0.09
0.6,0.16,0.19,-1.05,-0.01,0.31,-0.09
0.79,0.07,0.51,-1.05,-0.07,0.05,-0.15
0.99,0.12,0.19,0.27,0.02,0.11,-0.01
1.19,0.02,0.12,-0.36,0.02,0.06,0.01
1.39,-0.12,-0.19,-0.34,0.03,0.02,-0.0
1.59,-0.04,-0.18,-0.27,0.02,0.04,0.0
1.79,-0.07,-0.12,-0.08,0.01,0.01,0.0
1.99,-0.02,-0.03,-0.12,0.01,-0.01,-0.0
2.19,-0.07,-0.04,-0.06,0.01,-0.01,-0.0
2.38,-0.05,-0.14,-0.13,0.01,-0.01,-0.0
2.58,-0.03,-0.05,-0.06,0.01,0.0,-0.0
2.78,-0.06,-0.08,-0.07,0.01,-0.01,-0.0
2.98,-0.07,-0.04,-0.05,0.01,-0.01,-0.0
3.18,-0.05,-0.1,-0.09,0.01,0.0,-0.0
3.38,-0.04,-0.04,-0.07,0.01,0.0,-0.0
3.58,-0.05,-0.1,-0.06,0.01,-0.01,-0.0
3.78,-0.02,-0.05,-0.07,0.0,-0.01,0.0
3.97,-0.05,-0.08,-0.04,0.01,-0.01,-0.0
4.17,-0.05,-0.03,-0.06,0.01,-0.01,-0.0
4.37,-0.05,-0.08,-0.06,0.01,-0.01,-0.0
4.57,-0.05,-0.04,-0.07,0.01,-0.01,-0.0
4.77,-0.05,-0.09,-0.07,0.01,-0.01,-0.0
4.97,-0.05,-0.05,-0.01,0.01,-0.01,-0.0
5.17,-0.05,-0.1,-0.06,0.01,-0.01,-0.0
5.37,-0.03,-0.05,-0.06,0.01,-0.01,-0.0
5.57,-0.05,-0.05,-0.04,0.01,-0.01,-0.0
5.76,-0.05,-0.07,-0.06,0.01,-0.01,-0.0
5.96,-0.06,-0.03,-0.05,0.01,-0.01,-0.0
6.16,-0.03,-0.07,-0.03,0.01,-0.01,-0.0
6.36,-0.05,-0.06,-0.02,0.01,-0.01,-0.0
6.56,-0.05,-0.06,-0.06,0.01,-0.01,-0.0
6.76,-0.05,-0.04,-0.06,0.01,-0.01,-0.0
6.96,-0.05,-0.05,-0.07,0.01,-0.01,-0.0
7.16,-0.05,-0.08,-0.04,0.01,-0.01,-0.0
7.35,-0.05,-0.03,-0.06,0.01,-0.01,-0.0
7.55,-0.05,-0.06,-0.04,0.0,-0.01,-0.0
7.75,-0.05,-0.03,-0.06,0.01,-0.01,-0.0
7.95,-0.05,-0.05,-0.02,0.01,-0.01,-0.0
8.15,-0.06,-0.04,-0.04,0.01,-0.01,-0.0
8.35,-0.04,-0.05,-0.04,0.01,-0.01,-0.0
8.55,-0.05,-0.06,-0.06,0.01,-0.01,-0.0
8.75,-0.05,-0.04,-0.04,0.01,-0.01,-0.0
8.94,-0.05,-0.03,-0.02,0.01,-0.01,-0.0
